WARNING 2026-07-08 22:36:17,636 log 8796 22896 Not Found: /
WARNING 2026-07-08 22:36:17,637 log 8796 22896 "GET / HTTP/1.1" 404 179
WARNING 2026-07-08 22:36:17,811 log 8796 22896 Not Found: /favicon.ico
WARNING 2026-07-08 22:36:17,812 log 8796 22896 "GET /favicon.ico HTTP/1.1" 404 179
INFO 2026-07-08 22:36:26,715 log 8796 22896 "GET /admin/ HTTP/1.1" 200 6511
WARNING 2026-07-08 22:36:26,781 log 8796 22896 Not Found: /static/admin/css/base.css
WARNING 2026-07-08 22:36:26,782 log 8796 22896 "GET /static/admin/css/base.css HTTP/1.1" 404 179
WARNING 2026-07-08 22:36:26,783 log 8796 1592 Not Found: /static/admin/css/dark_mode.css
WARNING 2026-07-08 22:36:26,785 log 8796 1708 Not Found: /static/admin/js/theme.js
WARNING 2026-07-08 22:36:26,786 log 8796 1592 "GET /static/admin/css/dark_mode.css HTTP/1.1" 404 179
WARNING 2026-07-08 22:36:26,788 log 8796 1512 Not Found: /static/admin/css/nav_sidebar.css
WARNING 2026-07-08 22:36:26,789 log 8796 1708 "GET /static/admin/js/theme.js HTTP/1.1" 404 179
WARNING 2026-07-08 22:36:26,793 log 8796 1512 "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 404 179
WARNING 2026-07-08 22:36:26,791 log 8796 2104 Not Found: /static/admin/css/dashboard.css
WARNING 2026-07-08 22:36:26,796 log 8796 12028 Not Found: /static/admin/css/responsive.css
WARNING 2026-07-08 22:36:26,797 log 8796 2104 "GET /static/admin/css/dashboard.css HTTP/1.1" 404 179
WARNING 2026-07-08 22:36:26,797 log 8796 12028 "GET /static/admin/css/responsive.css HTTP/1.1" 404 179
WARNING 2026-07-08 22:36:26,810 log 8796 12028 Not Found: /static/admin/js/nav_sidebar.js
WARNING 2026-07-08 22:36:26,812 log 8796 12028 "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 404 179
INFO 2026-07-08 22:36:34,814 log 8796 12028 "GET /admin/users/user/ HTTP/1.1" 200 13350
WARNING 2026-07-08 22:36:34,864 log 8796 12028 Not Found: /static/admin/css/base.css
WARNING 2026-07-08 22:36:34,865 log 8796 2104 Not Found: /static/admin/css/dark_mode.css
WARNING 2026-07-08 22:36:34,867 log 8796 1708 Not Found: /static/admin/css/changelists.css
WARNING 2026-07-08 22:36:34,869 log 8796 1512 Not Found: /static/admin/js/theme.js
WARNING 2026-07-08 22:36:34,869 log 8796 22896 Not Found: /static/admin/js/vendor/jquery/jquery.min.js
WARNING 2026-07-08 22:36:34,870 log 8796 12028 "GET /static/admin/css/base.css HTTP/1.1" 404 179
WARNING 2026-07-08 22:36:34,871 log 8796 2104 "GET /static/admin/css/dark_mode.css HTTP/1.1" 404 179
WARNING 2026-07-08 22:36:34,871 log 8796 1708 "GET /static/admin/css/changelists.css HTTP/1.1" 404 179
WARNING 2026-07-08 22:36:34,871 log 8796 1512 "GET /static/admin/js/theme.js HTTP/1.1" 404 179
WARNING 2026-07-08 22:36:34,872 log 8796 22896 "GET /static/admin/js/vendor/jquery/jquery.min.js HTTP/1.1" 404 179
WARNING 2026-07-08 22:36:34,875 log 8796 12028 Not Found: /static/admin/css/nav_sidebar.css
WARNING 2026-07-08 22:36:34,876 log 8796 12028 "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 404 179
WARNING 2026-07-08 22:36:34,878 log 8796 2104 Not Found: /static/admin/css/responsive.css
WARNING 2026-07-08 22:36:34,879 log 8796 1708 Not Found: /static/admin/js/jquery.init.js
WARNING 2026-07-08 22:36:34,880 log 8796 1512 Not Found: /static/admin/js/core.js
WARNING 2026-07-08 22:36:34,882 log 8796 22896 Not Found: /static/admin/js/admin/RelatedObjectLookups.js
WARNING 2026-07-08 22:36:34,883 log 8796 12028 Not Found: /static/admin/js/actions.js
WARNING 2026-07-08 22:36:34,884 log 8796 2104 "GET /static/admin/css/responsive.css HTTP/1.1" 404 179
WARNING 2026-07-08 22:36:34,885 log 8796 1708 "GET /static/admin/js/jquery.init.js HTTP/1.1" 404 179
WARNING 2026-07-08 22:36:34,885 log 8796 1512 "GET /static/admin/js/core.js HTTP/1.1" 404 179
WARNING 2026-07-08 22:36:34,886 log 8796 22896 "GET /static/admin/js/admin/RelatedObjectLookups.js HTTP/1.1" 404 179
WARNING 2026-07-08 22:36:34,886 log 8796 12028 "GET /static/admin/js/actions.js HTTP/1.1" 404 179
WARNING 2026-07-08 22:36:34,889 log 8796 2104 Not Found: /static/admin/css/changelists.css
WARNING 2026-07-08 22:36:34,892 log 8796 1708 Not Found: /static/admin/js/urlify.js
WARNING 2026-07-08 22:36:34,893 log 8796 1512 Not Found: /static/admin/js/prepopulate.js
WARNING 2026-07-08 22:36:34,895 log 8796 22896 Not Found: /static/admin/js/vendor/xregexp/xregexp.min.js
WARNING 2026-07-08 22:36:34,896 log 8796 2104 "GET /static/admin/css/changelists.css HTTP/1.1" 404 179
WARNING 2026-07-08 22:36:34,896 log 8796 1708 "GET /static/admin/js/urlify.js HTTP/1.1" 404 179
WARNING 2026-07-08 22:36:34,897 log 8796 1512 "GET /static/admin/js/prepopulate.js HTTP/1.1" 404 179
WARNING 2026-07-08 22:36:34,897 log 8796 22896 "GET /static/admin/js/vendor/xregexp/xregexp.min.js HTTP/1.1" 404 179
WARNING 2026-07-08 22:36:34,903 log 8796 22896 Not Found: /static/admin/img/search.svg
WARNING 2026-07-08 22:36:34,904 log 8796 1512 Not Found: /static/admin/img/icon-yes.svg
WARNING 2026-07-08 22:36:34,905 log 8796 22896 "GET /static/admin/img/search.svg HTTP/1.1" 404 179
WARNING 2026-07-08 22:36:34,905 log 8796 1512 "GET /static/admin/img/icon-yes.svg HTTP/1.1" 404 179
WARNING 2026-07-08 22:36:34,913 log 8796 1512 Not Found: /static/admin/js/nav_sidebar.js
WARNING 2026-07-08 22:36:34,913 log 8796 1512 "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 404 179
WARNING 2026-07-08 22:36:34,919 log 8796 1512 Not Found: /static/admin/js/filters.js
WARNING 2026-07-08 22:36:34,919 log 8796 1512 "GET /static/admin/js/filters.js HTTP/1.1" 404 179
INFO 2026-07-08 22:36:34,973 log 8796 1592 "GET /admin/jsi18n/ HTTP/1.1" 200 3342
WARNING 2026-07-08 22:36:34,981 log 8796 1592 Not Found: /static/admin/css/responsive.css
WARNING 2026-07-08 22:36:34,983 log 8796 1512 Not Found: /static/admin/img/icon-yes.svg
WARNING 2026-07-08 22:36:34,984 log 8796 1592 "GET /static/admin/css/responsive.css HTTP/1.1" 404 179
WARNING 2026-07-08 22:36:34,985 log 8796 1512 "GET /static/admin/img/icon-yes.svg HTTP/1.1" 404 179
WARNING 2026-07-08 22:37:34,954 log 8796 1512 Not Found: /static/admin/css/base.css
WARNING 2026-07-08 22:37:34,955 log 8796 1512 "GET /static/admin/css/base.css HTTP/1.1" 404 179
INFO 2026-07-08 22:44:24,955 autoreload 1980 18484 Watching for file changes with StatReloader
WARNING 2026-07-08 22:44:29,504 log 1980 15800 Not Found: /
WARNING 2026-07-08 22:44:29,505 log 1980 15800 "GET / HTTP/1.1" 404 179
WARNING 2026-07-08 22:44:35,606 log 1980 15800 Not Found: /static/admin/css/base.css
WARNING 2026-07-08 22:44:35,607 log 1980 15800 "GET /static/admin/css/base.css HTTP/1.1" 404 179
INFO 2026-07-08 22:47:49,089 autoreload 1980 18484 D:\LJ_Sem4\Project\core\settings.py changed, reloading.
